848750 records read IPv4 peers (33)
0 Peer: 12.0.1.63/AS7018@12.0.1.63 (109249,719537)
1 Peer: 146.228.1.3/AS1836@146.228.1.3 (117654,723925)
2 Peer: 165.254.255.2/AS15562@165.254.255.2 (113795,714519)
3 Peer: 168.195.130.1/AS263702@168.195.130.2 (116271,725668)
4 Peer: 109.74.255.33/AS50300@176.12.110.8 (117139,722191)
5 Peer: 31.169.49.238/AS50304@178.255.145.243 (111331,720870)
6 Peer: 182.54.128.2/AS64050@182.54.128.2 (121412,705319)
7 Peer: 185.193.84.191/AS29504@185.193.84.191 (112026,725277)
8 Peer: 185.210.224.254/AS49432@185.210.224.254 (113017,734928)
9 Peer: 193.189.82.205/AS206499@185.215.214.1 (119158,726295)
10 Peer: 192.102.254.1/AS395152@192.102.254.1 (125065,746125)
11 Peer: 193.0.0.56/AS3333@193.0.0.56 (119227,726359)
12 Peer: 193.138.216.164/AS39351@193.138.216.164 (112321,729142)
13 Peer: 193.150.23.250/AS57381@193.150.22.1 (111827,721710)
14 Peer: 193.160.39.11/AS57821@193.160.39.1 (110824,721617)
15 Peer: 10.192.252.14/AS205523@194.28.98.37 (126586,730603)
16 Peer: 185.1.119.50/AS202365@194.50.19.4 (21604,137327)
17 Peer: 195.47.235.100/AS6881@195.47.235.100 (116862,740877)
18 Peer: 203.119.104.1/AS4608@203.119.104.1 (112609,743736)
19 Peer: 203.123.48.6/AS37989@203.123.48.6 (111412,723944)
20 Peer: 67.16.168.241/AS3549@208.51.134.248 (112188,719354)
21 Peer: 212.25.27.44/AS8758@212.25.27.44 (115910,734573)
22 Peer: 213.200.87.91/AS3257@213.200.87.254 (112035,719240)
23 Peer: 217.151.205.144/AS20514@217.151.205.144 (113249,723239)
24 Peer: 72.52.82.1/AS396503@23.129.32.65 (11445,60977)
25 Peer: 31.169.65.90/AS202365@31.169.65.90 (2,11)
26 Peer: 185.1.95.67/AS202365@44.164.66.20 (21992,139206)
27 Peer: 68.67.33.99/AS22652@45.61.0.85 (110460,722506)
28 Peer: 69.30.209.253/AS32097@69.30.209.253 (109847,719988)
29 Peer: 79.143.241.12/AS29608@79.143.241.12 (61124,316780)
30 Peer: 80.77.16.5/AS34549@80.77.16.114 (118258,724671)
31 Peer: 95.179.154.224/AS200334@95.179.154.224 (1,2)
32 Peer: 216.46.21.66/AS395766@98.159.46.1 (113896,720701)

((0,1),50863)
((0,2),44650)
((0,3),46830)
((0,4),55346)
((0,5),41956)
((0,6),49901)
((0,7),42561)
((0,8),50924)
((0,9),55135)
((0,10),70656)
((0,11),47716)
((0,12),44504)
((0,13),42420)
((0,14),45817)
((0,15),69949)
((0,16),97853)
((0,17),60277)
((0,18),44218)
((0,19),39209)
((0,20),47761)
((0,21),48157)
((0,22),38470)
((0,23),36822)
((0,24),104190)
((0,25),109249)
((0,26),97729)
((0,27),39981)
((0,28),36994)
((0,29),113537)
((0,30),52767)
((0,31),109248)
((0,32),41571)
((1,2),54211)
((1,3),59041)
((1,4),59691)
((1,5),44389)
((1,6),57258)
((1,7),34514)
((1,8),39967)
((1,9),44178)
((1,10),67351)
((1,11),51503)
((1,12),32335)
((1,13),44727)
((1,14),36578)
((1,15),54032)
((1,16),99990)
((1,17),56522)
((1,18),50763)
((1,19),51046)
((1,20),58586)
((1,21),41936)
((1,22),51475)
((1,23),48311)
((1,24),109945)
((1,25),117654)
((1,26),99796)
((1,27),42108)
((1,28),43759)
((1,29),115762)
((1,30),41320)
((1,31),117655)
((1,32),37198)
((2,3),58932)
((2,4),60998)
((2,5),49964)
((2,6),52811)
((2,7),48693)
((2,8),54418)
((2,9),55411)
((2,10),79414)
((2,11),54436)
((2,12),49512)
((2,13),48836)
((2,14),47059)
((2,15),71685)
((2,16),102271)
((2,17),66023)
((2,18),53276)
((2,19),44535)
((2,20),58803)
((2,21),51879)
((2,22),46770)
((2,23),50670)
((2,24),108650)
((2,25),113797)
((2,26),102209)
((2,27),49629)
((2,28),48738)
((2,29),115829)
((2,30),58511)
((2,31),113794)
((2,32),50177)
((3,4),62280)
((3,5),56816)
((3,6),60285)
((3,7),55977)
((3,8),60704)
((3,9),62045)
((3,10),71230)
((3,11),58530)
((3,12),57526)
((3,13),56786)
((3,14),55903)
((3,15),69547)
((3,16),104825)
((3,17),69045)
((3,18),59444)
((3,19),50967)
((3,20),25195)
((3,21),60417)
((3,22),44738)
((3,23),53562)
((3,24),111178)
((3,25),116271)
((3,26),104681)
((3,27),49327)
((3,28),52526)
((3,29),117329)
((3,30),61605)
((3,31),116272)
((3,32),55067)
((4,5),52620)
((4,6),66325)
((4,7),56481)
((4,8),59080)
((4,9),64039)
((4,10),80226)
((4,11),59982)
((4,12),54892)
((4,13),51754)
((4,14),54543)
((4,15),75315)
((4,16),103341)
((4,17),68049)
((4,18),60284)
((4,19),55053)
((4,20
